Source,Target
davidluiz_4,danialves
davidluiz_4,paulinhop8
davidluiz_4,ronaldo
davidluiz_4,thbarbosa
davidluiz_4,oscar_emboaba
davidluiz_4,kaka
davidluiz_4,pato
bruninho1,olympics
bruninho1,psg
bruninho1,tombrady
bruninho1,euandremarques
bruninho1,gentilfernanda
bruninho1,caiocastro
bruninho1,timebrasil
bruninho1,10emerson10
bruninho1,neymarpai_
bruninho1,leomessi
bruninho1,hugogloss
bruninho1,lucasmoura7
bruninho1,davidluiz_4
bruninho1,ticoelias
bruninho1,andre_santos27
bruninho1,pato
bruninho1,tiagoleifert
bruninho1,andreolifelipe
bruninho1,kaka
fredguedes9,16lucassilva
fredguedes9,ticoelias
fredguedes9,edmundosouza10
fredguedes9,gabrielmedina
fredguedes9,rami7oficial
fredguedes9,gentilfernanda
fredguedes9,kaka
fredguedes9,marcelotwelve
fredguedes9,paulinhop8
fredguedes9,alexandrepires_
fredguedes9,hulkparaiba
fredguedes9,davidluiz_4
fredguedes9,oscar_emboaba
fredguedes9,dantebahia
fredguedes9,thiagosilva_33
fredguedes9,neymarjr
fredguedes9,lucasmoura7
fredguedes9,danialves
lucasmoura7,davidbeckham
lucasmoura7,bruninho1
lucasmoura7,alexandrepires_
lucasmoura7,ronaldo
lucasmoura7,psg
lucasmoura7,danialves
lucasmoura7,gabrielopensadoroficial
lucasmoura7,fredguedes9
lucasmoura7,marcelotwelve
lucasmoura7,paulinhop8
lucasmoura7,hulkparaiba
lucasmoura7,gentilfernanda
lucasmoura7,dantebahia
lucasmoura7,kaka
lucasmoura7,davidluiz_4
lucasmoura7,oscar_emboaba
lucasmoura7,neymarjr
lucasmoura7,thiagosilva_33
pedroscooby,marcusbuaiz
pedroscooby,oficialthiagopereira
pedroscooby,gentilfernanda
pedroscooby,10emerson10
pedroscooby,cacabuenoracing
pedroscooby,thbarbosa
pedroscooby,hugogloss
pedroscooby,gabrielopensadoroficial
pedroscooby,flaviocanto
pedroscooby,papatinho
pedroscooby,john_john_florence
pedroscooby,euandremarques
pedroscooby,danialves
pedroscooby,bobburnquist
pedroscooby,bruninho1
pedroscooby,caiocastro
pedroscooby,davidbeckham
pedroscooby,ronaldo
pedroscooby,jotaamancio
pedroscooby,neymarpai_
pedroscooby,maya
pedroscooby,filipetoledo
pedroscooby,gabrielmedina
pedroscooby,neymarjr
filipetoledo,negodoborel
filipetoledo,danbilzerian
filipetoledo,davidluiz_4
filipetoledo,gabrielopensadoroficial
filipetoledo,john_john_florence
filipetoledo,gentilfernanda
filipetoledo,flaviocanto
filipetoledo,carlosburle
filipetoledo,bobburnquist
filipetoledo,vitorbelfort
filipetoledo,pedroscooby
filipetoledo,gabrielmedina
andre_santos27,gabrielmedina
andre_santos27,psg
andre_santos27,hulkparaiba
andre_santos27,alexandrepires_
andre_santos27,neymarpai_
andre_santos27,jotaamancio
andre_santos27,andreolifelipe
andre_santos27,davidbeckham
andre_santos27,justinbieber
andre_santos27,10emerson10
andre_santos27,edmundosouza10
andre_santos27,guimemc
tkanaan,acelerados
tkanaan,kaka
tkanaan,juliobaptistaoficial
tkanaan,seujorge
tkanaan,andreolifelipe
tkanaan,massafelipe19
tkanaan,jpdeoliveira
tkanaan,rubarrichello
tkanaan,cacabuenoracing
neymarjr,hugogloss
neymarjr,psg
neymarjr,andersonvarejao18
neymarjr,tombrady
neymarjr,negodoborel
neymarjr,davidbeckham
neymarjr,massafelipe19
neymarjr,marcusbuaiz
neymarjr,danbilzerian
neymarjr,justinbieber
neymarjr,neymarpai_
neymarjr,rami7oficial
neymarjr,paulinhop8
neymarjr,leomessi
neymarjr,ticoelias
neymarjr,dantebahia
neymarjr,vitorbelfort
neymarjr,juliobaptistaoficial
neymarjr,fredguedes9
neymarjr,hulkparaiba
neymarjr,lucasmoura7
neymarjr,ronaldo
neymarjr,gentilfernanda
neymarjr,gabrielmedina
neymarjr,pedroscooby
neymarjr,danialves
neymarjr,guimemc
neymarjr,alexandrepires_
neymarjr,andre_santos27
neymarjr,jotaamancio
neymarjr,oscar_emboaba
neymarjr,pato
neymarjr,marcelotwelve
neymarjr,davidluiz_4
neymarjr,thiagosilva_33
neymarjr,thbarbosa
neymarjr,caiocastro
neymarjr,bruninho1
neymarjr,kaka
neymarjr,tiagoleifert
neymarjr,tgmartins
gabrielmedina,hugogloss
gabrielmedina,kaka
gabrielmedina,oficialthiagopereira
gabrielmedina,negodoborel
gabrielmedina,john_john_florence
gabrielmedina,neymarpai_
gabrielmedina,thbarbosa
gabrielmedina,thiagosilva_33
gabrielmedina,jotaamancio
gabrielmedina,tgmartins
gabrielmedina,fredguedes9
gabrielmedina,caiocastro
gabrielmedina,guimemc
gabrielmedina,maya
gabrielmedina,danialves
gabrielmedina,andreolifelipe
gabrielmedina,papatinho
gabrielmedina,bruninho1
gabrielmedina,bobburnquist
gabrielmedina,ronaldo
gabrielmedina,pedroscooby
gabrielmedina,filipetoledo
gabrielmedina,neymarjr
rubarrichello,tombrady
rubarrichello,bruninho1
rubarrichello,m_phelps00
rubarrichello,juliobaptistaoficial
rubarrichello,neymarpai_
rubarrichello,danialves
rubarrichello,leomessi
rubarrichello,davidbeckham
rubarrichello,galvaobueno
rubarrichello,gabrielmedina
rubarrichello,tarsomarquesoficial
rubarrichello,danbilzerian
rubarrichello,acelerados
rubarrichello,kellyslater
rubarrichello,flaviocanto
rubarrichello,hugogloss
rubarrichello,gentilfernanda
rubarrichello,davidluiz_4
rubarrichello,euandremarques
maya,hugogloss
maya,justinbieber
maya,neymarjr
maya,bobburnquist
maya,kellyslater
maya,gabrielmedina
maya,pedroscooby
edmundosouza10,davidbeckham
edmundosouza10,tgmartins
marcusbuaiz,rodrigobocardi
marcusbuaiz,jotaamancio
marcusbuaiz,tombrady
marcusbuaiz,danialves
marcusbuaiz,alexandrepires_
marcusbuaiz,bruninho1
marcusbuaiz,gentilfernanda
marcusbuaiz,edmundosouza10
marcusbuaiz,galvaobueno
marcusbuaiz,danbilzerian
marcusbuaiz,caiocastro
marcusbuaiz,kellyslater
marcusbuaiz,pedroscooby
marcusbuaiz,massafelipe19
marcusbuaiz,seujorge
marcusbuaiz,justinbieber
marcusbuaiz,tiagoleifert
marcusbuaiz,vitorbelfort
marcusbuaiz,davidbeckham
marcusbuaiz,leomessi
marcusbuaiz,neymarpai_
marcusbuaiz,kaka
marcusbuaiz,ticoelias
marcusbuaiz,thbarbosa
marcusbuaiz,aecionevesoficial
marcusbuaiz,tgmartins
marcusbuaiz,ronaldo
marcusbuaiz,hugogloss
marcusbuaiz,snoopdogg
marcusbuaiz,euandremarques
marcusbuaiz,neymarjr
cacabuenoracing,bobburnquist
cacabuenoracing,gentilfernanda
cacabuenoracing,maya
cacabuenoracing,carlosburle
cacabuenoracing,pedroscooby
cacabuenoracing,andreolifelipe
cacabuenoracing,galvaobueno
cacabuenoracing,pato
cacabuenoracing,jpdeoliveira
cacabuenoracing,euandremarques
cacabuenoracing,fredguedes9
cacabuenoracing,flaviocanto
cacabuenoracing,massafelipe19
cacabuenoracing,rubarrichello
cacabuenoracing,tiagoleifert
cacabuenoracing,kellyslater
cacabuenoracing,tkanaan
carlosburle,seujorge
carlosburle,tkanaan
carlosburle,massafelipe19
carlosburle,rubarrichello
carlosburle,cacabuenoracing
carlosburle,danialves
carlosburle,olympics
carlosburle,tiagoleifert
euandremarques,ronaldo
euandremarques,hugogloss
euandremarques,thbarbosa
euandremarques,bobburnquist
euandremarques,negodoborel
euandremarques,pedroscooby
euandremarques,gentilfernanda
euandremarques,tarsomarquesoficial
euandremarques,thiagosilva_33
euandremarques,andreolifelipe
kaka,neymarpai_
kaka,gentilfernanda
kaka,tombrady
kaka,olympics
kaka,leomessi
kaka,rami7oficial
kaka,davidbeckham
kaka,galvaobueno
kaka,andersonvarejao18
kaka,gabrielmedina
kaka,alexandrepires_
kaka,ticoelias
kaka,fredguedes9
kaka,pato
kaka,hulkparaiba
kaka,lucasmoura7
kaka,rubarrichello
kaka,marcusbuaiz
kaka,massafelipe19
kaka,danialves
kaka,tkanaan
kaka,thbarbosa
kaka,juliobaptistaoficial
kaka,paulinhop8
kaka,oscar_emboaba
kaka,davidluiz_4
kaka,bruninho1
kaka,thiagosilva_33
kaka,neymarjr
kaka,marcelotwelve
kaka,andreolifelipe
kaka,ronaldo
kaka,tiagoleifert
kaka,hugogloss
justinbieber,neymarjr
andreolifelipe,psg
andreolifelipe,snoopdogg
andreolifelipe,hugogloss
andreolifelipe,tgmartins
andreolifelipe,10emerson10
andreolifelipe,olympics
andreolifelipe,m_phelps00
andreolifelipe,oficialthiagopereira
andreolifelipe,seujorge
andreolifelipe,cacabuenoracing
andreolifelipe,gentilfernanda
andreolifelipe,davidbeckham
andreolifelipe,ticoelias
andreolifelipe,kellyslater
andreolifelipe,carlosburle
andreolifelipe,filipetoledo
andreolifelipe,flaviocanto
andreolifelipe,galvaobueno
andreolifelipe,neymarpai_
andreolifelipe,timebrasil
andreolifelipe,euandremarques
andreolifelipe,alexandrepires_
andreolifelipe,juliobaptistaoficial
